simulation,mean_hits
1,0.7615291262135923
2,0.7330097087378641
3,0.7220873786407767
4,0.7287621359223301
5,0.7633495145631068
6,0.745752427184466
7,0.7342233009708737
8,0.7190533980582524
9,0.7427184466019418
10,0.7293689320388349
11,0.7105582524271845
12,0.7087378640776699
13,0.7233009708737864
14,0.7663834951456311
15,0.7475728155339806
16,0.754247572815534
17,0.741504854368932
18,0.7366504854368932
19,0.7226941747572816
20,0.7427184466019418
21,0.7493932038834952
22,0.7141990291262136
23,0.7269417475728155
24,0.7172330097087378
25,0.7184466019417476
26,0.7354368932038835
27,0.7317961165048543
28,0.7493932038834952
29,0.7554611650485437
30,0.7257281553398058
31,0.7949029126213593
32,0.7524271844660194
33,0.7342233009708737
34,0.7220873786407767
35,0.7105582524271845
36,0.7360436893203883
37,0.7330097087378641
38,0.7214805825242718
39,0.7190533980582524
40,0.7651699029126213
41,0.7032766990291263
42,0.7427184466019418
43,0.7524271844660194
44,0.7348300970873787
45,0.716626213592233
46,0.741504854368932
47,0.7518203883495146
48,0.7233009708737864
49,0.7087378640776699
50,0.7372572815533981
51,0.7135922330097088
52,0.7269417475728155
53,0.7214805825242718
54,0.7336165048543689
55,0.7336165048543689
56,0.7154126213592233
57,0.7220873786407767
58,0.7475728155339806
59,0.7487864077669902
60,0.7245145631067961
61,0.7014563106796117
62,0.7135922330097088
63,0.741504854368932
64,0.7220873786407767
65,0.7396844660194175
66,0.7354368932038835
67,0.7305825242718447
68,0.7330097087378641
69,0.7245145631067961
70,0.7245145631067961
71,0.695995145631068
72,0.7172330097087378
73,0.7220873786407767
74,0.720873786407767
75,0.7366504854368932
76,0.7336165048543689
77,0.7342233009708737
78,0.7330097087378641
79,0.7591019417475728
80,0.7196601941747572
81,0.7196601941747572
82,0.7063106796116505
83,0.7481796116504854
84,0.7245145631067961
85,0.695995145631068
86,0.7633495145631068
87,0.7597087378640777
88,0.7372572815533981
89,0.7384708737864077
90,0.7512135922330098
91,0.7239077669902912
92,0.7245145631067961
93,0.75
94,0.7591019417475728
95,0.7299757281553398
96,0.7281553398058253
97,0.7493932038834952
98,0.7239077669902912
99,0.7202669902912622
100,0.7609223300970874
101,0.7178398058252428
102,0.7050970873786407
103,0.7330097087378641
104,0.7275485436893204
105,0.712378640776699
106,0.7324029126213593
107,0.7396844660194175
108,0.7299757281553398
109,0.7245145631067961
110,0.754247572815534
111,0.6868932038834952
112,0.7724514563106796
113,0.7372572815533981
114,0.7002427184466019
115,0.7245145631067961
116,0.7645631067961165
